time,open,high,low,close,tick_volume,spread,real_volume
2025-07-03 15:00:00,3345.9,3352.26,3311.69,3324.47,4898,5,0
2025-07-03 16:00:00,3324.23,3338.44,3322.11,3332.19,5212,10,0
2025-07-03 17:00:00,3331.93,3334.67,3323.48,3324.59,4823,7,0
2025-07-03 18:00:00,3324.57,3331.47,3323.15,3328.02,3815,15,0
2025-07-03 19:00:00,3328.14,3334.64,3325.73,3333.88,3373,7,0
2025-07-03 20:00:00,3333.83,3334.8,3328.9,3329.1,2078,9,0
2025-07-03 21:00:00,3329.03,3330.25,3327.9,3329.05,1274,9,0
2025-07-03 22:00:00,3329.03,3329.49,3327.09,3328.75,1169,9,0
2025-07-03 23:00:00,3328.69,3328.87,3325.26,3325.92,1038,12,0
2025-07-04 01:00:00,3325.52,3329.63,3323.59,3329.15,1563,8,0
2025-07-04 02:00:00,3329.08,3332.02,3328.51,3330.83,2074,15,0
2025-07-04 03:00:00,3330.94,3331.16,3325.87,3328.96,2714,15,0
2025-07-04 04:00:00,3328.96,3329.22,3326.48,3327.68,277,15,0
2025-07-04 10:00:00,3337.62,3343.33,3336.94,3342.95,1704,15,0
2025-07-04 11:00:00,3342.97,3344.18,3340.89,3342.84,2656,9,0
2025-07-04 12:00:00,3342.82,3343.08,3333.05,3334.56,2991,5,0
2025-07-04 13:00:00,3334.35,3338.0,3331.55,3336.82,2608,13,0
2025-07-04 14:00:00,3336.8,3337.43,3334.39,3334.76,1516,12,0
2025-07-04 15:00:00,3334.73,3337.77,3331.42,3333.87,2948,13,0
2025-07-04 16:00:00,3333.94,3337.99,3332.23,3333.85,3100,5,0
2025-07-04 17:00:00,3333.85,3334.16,3330.89,3333.25,2803,14,0
2025-07-04 18:00:00,3333.25,3333.93,3330.88,3332.43,1899,11,0
